,Bid Range,Number of Impressions,Number of Clicks,Spent Amount,CTR,CPC,CPM
302,"[101,280]",94659,56,6249999,0.000591597206816045,111607.125,66026.46341076918
303,"[101,270]",95403,57,6249948,0.0005974654885066508,109648.21052631579,65511.02166598535
304,"[101,260]",96507,55,6249965,0.0005699068461355134,113635.72727272728,64761.77893831536
305,"[101,250]",97684,57,6249993,0.0005835141886081651,109649.0,63981.74726669669
306,"[101,240]",99052,53,6249890,0.0005350724871784517,117922.45283018867,63097.06013003271
307,"[101,230]",100466,56,6249923,0.000557402504329823,111605.76785714286,62209.33450122429
308,"[101,220]",101805,52,6249919,0.0005107804135356809,120190.75,61391.080988163645
309,"[101,210]",103656,55,6249895,0.0005306012194180752,113634.45454545454,60294.58014972602
310,"[101,200]",105469,57,6249987,0.0005404431633939831,109648.8947368421,59258.99553423281
311,"[101,190]",107115,58,6249922,0.0005414741166036503,107757.27586206897,58347.775755029645
312,"[101,180]",108859,53,6249967,0.0004868683342672632,117923.90566037736,57413.41551915781
313,"[101,170]",111127,60,6249983,0.0005399227910408812,104166.38333333333,56241.80442196766
314,"[101,160]",113379,57,6249987,0.0005027386023866853,109648.8947368421,55124.732093244784
